Protein,Trend,State_0,State_1,State_2,State_3,State_4
SERPINB8,Fluctuating,0.0,0.7005682645188205,0.9156438938738624,0.8752777749158658,1.0
SERPINB9,Fluctuating,0.3044543955163196,1.0,0.9378286727077636,0.3786639649472695,0.0
SERPINE1,"0-2 Increasing, 3-4 Decreasing",0.0,0.663404749214918,0.8957301179878698,1.0,0.6636335111274726
SEPTIN9,Fluctuating,0.27173595015515756,0.7297415175589549,1.0,0.6523811171748167,0.0
SDC4,Fluctuating,0.30122804886462645,0.7671078037397128,1.0,0.0,0.03566349310133743
SELP,"0-2 Increasing, 3-4 Decreasing",0.0,0.5111611031508605,0.7288163640772664,1.0,0.8786950925685072
SELE,Gradually Increasing,0.0,0.4687507456023374,0.6189847600202688,0.9503367196222609,1.0
SELE,Fluctuating,0.0,0.4687507456023374,0.6189847600202688,0.9503367196222609,1.0
SELPLG,"0-2 Increasing, 3-4 Decreasing",0.0,0.4289653224058143,0.5477068453788699,1.0,0.5854508969946749
SEMA3F,Fluctuating,0.0,0.8373293558766074,1.0,0.9399801650973887,0.9155966036749125
SEMA4C,Fluctuating,0.0,0.918938926990655,1.0,0.8257617643596469,0.9267231636558285
SEMA4D,Fluctuating,0.0,1.0,0.9615753459629547,0.40386986908990047,0.2498735196282213
SEMA7A,Gradually Increasing,0.0,0.28417564024420816,0.3274563660773584,0.9224482686144594,1.0
SEMA7A,Fluctuating,0.0,0.28417564024420816,0.3274563660773584,0.9224482686144594,1.0
SHMT1,"0-2 Increasing, 3-4 Decreasing",0.0,0.5674392373910903,0.8228930452306272,1.0,0.5919337611864848
SH2D1A,Fluctuating,0.0,0.6619153793406302,0.942421235072357,0.912631035526426,1.0
SIAE,"0-2 Increasing, 3-4 Decreasing",0.0,0.5279551794584812,0.6494045848897511,1.0,0.9304567820833026
SIGLEC1,Gradually Increasing,0.0,0.4799067620320464,0.6414358503819909,0.870763398367856,1.0
SIGLEC1,Fluctuating,0.0,0.4799067620320464,0.6414358503819909,0.870763398367856,1.0
SIGLEC10,Gradually Increasing,0.0,0.48973736423250264,0.6295460567532811,0.939414550400287,1.0
SIGLEC10,Fluctuating,0.0,0.48973736423250264,0.6295460567532811,0.939414550400287,1.0
SIGLEC15,Fluctuating,0.47661507936120534,0.8185586057896451,0.0,1.0,0.556487284004264
SIGLEC5,"0-2 Increasing, 3-4 Decreasing",0.0,0.6051231880547574,0.6424779176580291,1.0,0.7081463248977867
SIGLEC6,Gradually Increasing,0.0,0.27842554611139736,0.3477275688525593,0.8135701586663908,1.0
