Protein,Trend,State_0,State_1,State_2,State_3,State_4
CALCOCO1,Fluctuating Increasing,0.0,0.5107887187517197,0.8135448040171863,0.9999999991484358,0.3242100287830812
CALCA,Gradually Increasing,0.0,0.3960790150075945,0.5655863284062008,0.988508084857838,0.9999999998113592
CALB2,Fluctuating,0.0,0.8938571561813249,0.9999999995371426,0.9472595540545277,0.97839609276302
CALB1,Fluctuating,0.27093080257381236,0.0,0.0942617097204921,0.9999999984793987,0.9703031156479482
ACTA2,Gradually Increasing,0.0,0.46232697414409113,0.6531078449618305,0.8448544726727192,0.9999999997038361
ACP6,Fluctuating Increasing,0.0,0.6471655337821719,0.9999999987541335,0.9439118668688993,0.7496696589166331
ACP5,Gradually Increasing,0.0,0.353755267856293,0.48386021151995817,0.9777821339375051,0.9999999996637225
ACOX1,Fluctuating Increasing,0.0,0.8669023783412,0.9999999987028015,0.9944334042938168,0.7430214798792539
ACE2,Fluctuating Increasing,0.0,0.4146360358966039,0.6199580749305282,0.9999999998487927,0.9342317516046783
ACAN,Fluctuating Decreasing,0.9999999990873971,0.7518740126768991,0.5629416307707844,0.0,0.220560320676924
ACAA1,Fluctuating Increasing,0.0,0.4764659982738122,0.6880303358338499,0.9999999998331229,0.8089738514540269
ABL1,Fluctuating Increasing,0.0,0.7012106150584413,0.9922948023008848,0.9999999995462506,0.7597516720654268
ABHD14B,Fluctuating Increasing,0.0,0.698805629541236,0.9999999990527737,0.6236411044851347,0.5752472291676843
AARSD1,Fluctuating Increasing,0.0,0.4109892111582264,0.7530423176551775,0.9999999993708903,0.872564228993363
CCL17,Fluctuating Increasing,0.0,0.6036576404943227,0.9999999996941182,0.772493527347339,0.631784406220043
CCL22,Fluctuating,0.0,0.6982867932240946,0.9999999997087343,0.8682272593093266,0.9783723906612772
CCL21,Gradually Increasing,0.0,0.3510389001591717,0.5707136402140501,0.8191180984057639,0.9999999996979665
CCL20,Gradually Increasing,0.0,0.32616874572315596,0.5701699730766807,0.7840257024597922,0.9999999998937867
CCL2,Fluctuating Increasing,0.0,0.47033133893763746,0.6554623437831185,0.9999999993986868,0.7001570998075022
CCL19,Gradually Increasing,0.0,0.45387736561905645,0.7029655530156607,0.7657665711421834,0.9999999998594473
CCL18,Fluctuating,0.0,0.7539585211402146,0.999999999798378,0.8785622893068495,0.8874958353003531
CCL24,Fluctuating,0.0,0.9314994713400606,0.8918379432749776,0.9009163137094897,0.9999999992488543
CCL16,Gradually Increasing,0.0,0.6031520758042953,0.8257819641209104,0.9272162815470671,0.9999999998055781
CCL15,Gradually Increasing,0.0,0.20698613144993064,0.42195926014240304,0.8437062982007654,0.9999999997936254
CCL14,Gradually Increasing,0.0,0.5840555643888553,0.821161631619185,0.8248076421659852,0.9999999994622005
CCL13,Fluctuating Increasing,0.0,0.6022374828079772,0.8521394904387427,0.9999999996727298,0.8624102377639362
CCL11,Gradually Increasing,0.0,0.07111628893982619,0.24517822890797922,0.8340987662115866,0.9999999996500728
CCL23,Fluctuating,0.19807769176048948,0.8565861220896079,0.999999999400892,0.5339262827565122,0.0
CCL5,Fluctuating,0.0,0.7935861266551454,0.9999999997002148,0.8382529724075957,0.8568890097773051
CCN4,Gradually Increasing,0.0,0.41590729657019204,0.6089981266192255,0.8975075303483834,0.9999999996940175
CCN3,Fluctuating,0.0,0.6848929516155695,0.9099733816826897,0.8465587353227971,0.9999999996819866
CCN2,Fluctuating Increasing,0.0,0.7912040876116619,0.9999999992498535,0.9720760884704984,0.5130489044182472
CCN1,Fluctuating,0.0,0.6577604696111716,0.9261223311687746,0.8087250642392136,0.9999999997333116
CCL8,Fluctuating,0.0,0.7619130471701913,0.999999999547853,0.827593077790848,0.8924114060895686
CCL7,Gradually Increasing,0.0,0.5284189519050355,0.7604207703410611,0.7989966337997548,0.9999999998410551
CCN5,Gradually Increasing,0.0,0.6080022936106629,0.7283605310625888,0.9246401525223612,0.9999999997689355
CCL4,Fluctuating Increasing,0.0,0.741609033698691,0.9999999996636475,0.9736868019448062,0.8617159081395213
CCL3,Gradually Increasing,0.0,0.5417464878774461,0.7347814250846177,0.8096664907156681,0.9999999998330724
CCL28,Fluctuating,0.21443064082029606,0.0,0.15756327682394483,0.6829912975523994,0.9999999995682577
CCL27,Fluctuating Increasing,0.0,0.6882660628946281,0.9999999994922601,0.789701350594998,0.7275518698682648
CCL26,Fluctuating,0.0,0.5928357299502779,0.9999999994697218,0.4810425038789533,0.6714048978964917
CCL25,Gradually Increasing,0.0,0.2657167648793317,0.45205645899557945,0.7998992716706393,0.9999999997382892
CCDC80,Gradually Increasing,0.0,0.7082002080517987,0.900835369515628,0.9519075069384503,0.9999999997130187
CASP3,Fluctuating Increasing,0.0,0.9074199316817708,0.999999998789943,0.5938840666419092,0.07541509709147434
CASP2,Fluctuating Increasing,0.0,0.8630196594303101,0.9465937456208094,0.9999999989291289,0.5174438557713298
CASP10,Fluctuating Increasing,0.0,0.6302350576604874,0.99999999913684,0.9918051271870124,0.92322160036879
CASP1,Gradually Increasing,0.0,0.5621157972430486,0.9047705006229546,0.9045381330993993,0.9999999993708478
CARHSP1,Fluctuating Increasing,0.0,0.37819318264435786,0.9999999980234461,0.9462489638596371,0.5638476770347067
CAPG,Fluctuating Increasing,0.0,0.6371200069767669,0.8982394494090983,0.9999999996761337,0.9345787114921351
CANT1,Fluctuating Increasing,0.0,0.750472836466158,0.9327069520472397,0.9999999988510796,0.7599275301388058
CAMKK1,Fluctuating,0.0,0.7333140195521789,0.9999999989525107,0.782648840764562,0.8497835483684275
CBLN4,Gradually Increasing,0.0,0.2989815805212889,0.655578006171871,0.7490871235619646,0.9999999989996378
CC2D1A,Fluctuating Increasing,0.0,0.6610968269050794,0.9999999995342176,0.9081125032427089,0.6741555687262132
CBLIF,Gradually Increasing,0.0,0.0696966802400789,0.203878879256237,0.963591790716303,0.9999999997376875
CASP8,Fluctuating,0.16004564428733678,0.7772724104963086,0.9999999991184996,0.7362801686149673,0.0
ACTN4,Fluctuating,0.0,0.647358750804585,0.5845224879274926,0.875551775182746,0.9999999969021743
BAG3,Fluctuating,0.0,0.8399741849422582,0.9999999994940525,0.3563908080099452,0.36408472201796704
BAX,Fluctuating Increasing,0.0,0.8738607669036863,0.9793062245483484,0.9999999992042192,0.467499249033827
BANK1,Fluctuating Increasing,0.0,0.8022875330513174,0.9977461915209238,0.9999999993100545,0.5056669567835058
BAMBI,Fluctuating Increasing,0.0,0.4469037982619258,0.614905884675385,0.9999999988936191,0.9204321266452943
BAIAP2,Fluctuating Increasing,0.0,0.4464667908987522,0.6724834953017618,0.9999999998379225,0.88372677322393
BAG6,Fluctuating Increasing,0.0,0.7515883726552062,0.9999999989347791,0.7743124189794286,0.5947469620201857
BCAN,Fluctuating Decreasing,0.9999999997205933,0.5633146023563745,0.4069215176842476,0.0,0.038460865648564393
BACH1,Fluctuating Increasing,0.0,0.7276345754646276,0.9681762497076785,0.9999999991065739,0.6708696655640622
B4GAT1,Fluctuating Decreasing,0.9999999985787922,0.010979842562087457,0.0,0.10185886061794827,0.507889491138316
B4GALT1,Gradually Increasing,0.0,0.4638200535963074,0.6379615691125156,0.9684650878774066,0.9999999994101273
AZU1,Fluctuating,0.0,0.5577315932973934,0.9824936473848286,0.8861795791570036,0.9999999995000858
BCAM,Gradually Increasing,0.0,0.23036947975352473,0.34774014057342406,0.8314070281296285,0.9999999993018722
BGN,Fluctuating,0.18259998573396694,0.04925448257348925,0.0,0.0069108511459631,0.9999999993765795
BCR,Fluctuating Increasing,0.0,0.8080413344481934,0.9999999993629872,0.9879393091334885,0.6956749604377167
BID,Fluctuating Increasing,0.0,0.8073182985604621,0.9999999995165003,0.6545115374924589,0.642086500178602
BCL2L11,Fluctuating Increasing,0.0,0.22509292378315143,0.42472106902303763,0.9999999992275278,0.9495730310673165
AXL,Gradually Increasing,0.0,0.453878643284792,0.5759870828757011,0.9499182901377335,0.9999999990202721
ATOX1,Fluctuating Increasing,0.0,0.7541192048008798,0.8841635939803659,0.9999999994770569,0.5052899589683266
ATG4A,Fluctuating Increasing,0.0,0.37549897694978096,0.9471927697831537,0.9999999982348143,0.3718597853501509
ATF2,Fluctuating,0.6663015378288268,0.9999999983343799,0.7808149594809766,0.394002960450365,0.0
ASGR1,Fluctuating Increasing,0.0,0.5830442449264625,0.7708730831193119,0.9999999997303007,0.9331860382488291
ASAH2,Gradually Increasing,0.0,0.43512771181156934,0.6584587866248173,0.8631361106926454,0.99999999971709
ARTN,Fluctuating Increasing,0.0,0.6517394914156083,0.9999999948416218,0.6619254928345323,0.574761536399273
ART3,Fluctuating,0.9999999994069418,0.19845116060350965,0.0,0.330024246894531,0.20944675718677136
ARSB,Gradually Increasing,0.0,0.5755254146038622,0.836375518891221,0.9235635369090149,0.9999999995545047
ATP6V1F,Fluctuating Increasing,0.0,0.6244380455460466,0.9999999984222576,0.9764067976920784,0.44400738199729456
ATXN10,Fluctuating,0.07232121599982949,0.9999999984436626,0.9091627532716989,0.9785169115092034,0.0
AXIN1,Fluctuating Increasing,0.0,0.8144238960520425,0.9999999992299501,0.9458324435492164,0.4419787472942481
ATP6V1D,Gradually Decreasing,0.9999999953224407,0.5761568338705025,0.2547025637775022,0.06346214438764271,0.0
ATP6AP2,Fluctuating Increasing,0.0,0.53895196701263,0.9168888672709518,0.9999999987712087,0.7573197938733627
ATP5PO,Fluctuating,0.13524610203159362,0.4446403918827029,0.7832146809398499,0.9999999925055144,0.0
ATP5IF1,Fluctuating Increasing,0.0,0.7549326923302416,0.9999999995269381,0.7693654042311053,0.7123361799844237
ARSA,Gradually Increasing,0.0,0.5151274761877894,0.7681353803583505,0.8670061609646256,0.9999999997221668
C4BPB,Fluctuating,0.0,0.7449181988366005,0.9999999991399346,0.14891799849800125,0.4074905162269534
C2CD2L,Fluctuating Increasing,0.0,0.7333039503253117,0.9638015311414346,0.9999999984363155,0.2419656673669075
C2,Gradually Increasing,0.0,0.4469885924194132,0.5932311857286109,0.8742251705770137,0.9999999995284339
C1QTNF1,Gradually Increasing,0.0,0.28054579958165327,0.507219074382926,0.9027093593307571,0.9999999997900295
